0	5	this is great!  cant tell the difference from original peanut better.  I have it with my fruit or on toast. Compared to the origanal calories of 45 vs 190 per serving..can't beat it.  Love this and will keep buying it.
1	2	this ia a good idea; however, difficult to open.  must squeeze/twist pretty hard & product oozes free - usually all over fingers.  also, portion size is a bit too small.  still love agave.
2	4	The texture and flavor are good. They are very filling. These are better than any Slim Fast bar even though the calories are high (290). There's no after taste and no unpset stomach. The are a perfect item for a quick breakfast and should be kept in every desk drawer incase a realxing lunch is not available. These bars are better than anything in a crappy snack machine.
3	5	This bar has the best texture and stays moist almost like a bakery item.  The nits off set the texture so that it is not too mushy making it a wonderful combination.  The calorie content isn't discouraging either making it a good buy for the whole family to enjoy.
4	5	I use Sempio whenever I can get it. &#65279; Soy sauce, kim, sweet potato noodles ... many more but one of my favorites is youndoo. I love to make muk but I like to add just a little flavor to the jelly in addition to the sauce. When I'm heating the mung bean powder and water, besides salt, I add a little sesame oil and Youndoo. My muk is so delicious with the Youndoo!
5	5	This is real earth friendy food that is good for health and preserves the species of good salmon just like the Native Indians did. Respect, Wisdome and Honer
6	5	I hope I don't offend but I am not a regular visitor to Starbucks.  It is not because I don't like them but it is because I usually have my coffee at home.  Their product is actually pretty good from the few times I have been to one of their stores.  This product ranks high on my list of prepackaged coffees.  Light as I like it, but very flavorful, it is a nice way to start the day.  Don't shy away from it because it has a "chain restaurant" brand, it is actually pretty good.
7	4	Taste great. They are pretty small so I need at least two on my 2+ hour bike rides. A noticeable pick me up.
8	5	Can't find these in the grocery store any more, so please keep them here on Amazon! Great snack!!  I Love them!!!
9	5	These are really good chocolate oat bars, and although I know the price changes, the unit price I paid for them were pretty close to the unit price at Wal-Mart. You get 12 boxes of 5 for a total of 60 bar which is a lot. But I highly recommend them as daily snacks or even breakfast plus they're high in fiber with their being 9g per bar. There are different flavors, but Oats and Chocolate is usually the cheapest. Overall, the bars are tasty, healthy, and great for snacks. I highly recommend.
10	5	I had been purchasing this product in the 11 oz size from Whole Foods. Because it is one of the only sweeteners I use, I use it up regularly.  Some people reviewed that they were disappointed with the size when the received their shipment...well, to them I'd say "read carefully and understand about measurements". It was a good purchase for me, as I've refilled my other 11 oz bottle 3 times plus I purchased it with another item that qualified for free shipping. I will be purchasing this again.
11	5	<a href="http://www.amazon.com/gp/product/B000K8ESAU">Necta Sweet Sugar Substitute Tablets, 1/2 Grain, 500-Count Bottle (Pack of 12)</a><br /><br />If you don't like the powder mess of packages, this is the way to go. You might want to get the 1/4 grain, as these might be too sweet for some people. All the local grocery stores have stopped carrying this product, so it was great to find it on Amazon. It does give you about a 3-year supply however!
12	4	It is what it is. Does what it should. Could be better but it also could be more expensive. All in all, I'm happy.
13	4	Ten Ren has different grades of oolong tea, but for me since I drink oolong tea a lot, I purchased this since this was very affordable.<br />The grade is of course not high, but for everyday use, this is great.
14	1	I wanted to avoid using food coloring due to it containing the ingredient red 40. So I used this powder to color my cake red well it did not work. The color of the red velvet cake was light brown; this powder does not work for cakes.
15	5	I absolutely love these centipedes!! Wish I could have gotten a smaller version of this bag cause I can't stop eating them..Delicious
16	5	This coconut oil is very good quality and half a price cheaper than in Whole Foods. Smells great, like coconuts of course, and it's very useful not only in kitchen but also in in my beauty regime (hair and skin).
17	3	I was a bit concerned as the jerky had an odd odor not present in canine caviar products I had bought before, but they looked fine and my dog enjoyed them, so maybe it was just because they had been packed in an airtight package for shipping.  This product is WAY too expensive, but my dog really enjoys it.
18	3	I was quite disappointed in the flat taste of this product. There was a lot of meat, however, but the sauce and potatoes seemed to be rather lackluster in appearance and taste. I finally mixed 2 packages with some brown gravy, added a bit of blended seasoning and brought it to life. I would not buy this product again.
19	5	I was really reluctant to give these treats to my cat. It's really important to me that she eats a very healthy diet, and while I'm not doing the raw food diet, I do scrutinize labels for meat by-products, BHA, and useless fillers. With that said, my cat couldn't care less for those "healthy" treats that had passed my inspection. I have a cupboard full of treats I felt comfortable giving her that she ended up saving so she could play with them later. So, out of desperation, I bought these; a treat is, after all, a treat. And she goes berserk over them. She's runs to the kitchen whenever I simply open a cupboard, hoping I'm about to give her one of her precious treats. I've also finally taught her to Come on command! And, to be honest, other treats (including this brand's regular treats) have a lot worse ingredients.
20	1	I was excited to get some "jerky like you get at trade shows" this was the worst jerky my family has ever had,inedible,salt lick.<br />Jerky normally is gone in minutes this was gone all right out to the  garbage ,I was very disappointed
21	4	My cat is used to eating Weruva and Tiki Cat, so I wasn't sure how he would take to this brand. This doesn't look at all like the previous two brands (which actually look like people food) whereas BFF brand looks like typical cat food. Lou isn't normally picky, but he doesn't eat this food quite as quickly as Tiki or Weruva. I bought two cases of 10 (Tuna & Bonito and Tuna & Shrimp) and while it's a good price, I think next time we'll stick to Weruva for big cans of food and Tiki for small cans (he gets one big can in the am and one small can in the pm!) I'd buy this stuff again in the future if I was in a pinch, as it's not a bad food...I just like my cats food to look more like real fish or chicken vs over processed "stuff". But good ingredients and grain free at a good price!
22	1	This product does not work.  We know we have a clothing moth problem.  We frequently kill the flying adults and vacuum the rugs, carpets, and other areas where the eggs are laid, but they are still not completely eradicated.  However, NONE of the traps ever contained anything.
23	5	We have been drinking CC for over 50 years - the smooth taste is unbeatable!<br />I ordered the Between Roast to make sure the coffee was not expired, or about to.  Expiration date was almost a year from purchase date - I am ordering the Dark Roast today. (I like to mix the two - something my mother taught me years ago)
24	5	This is the best commercially available beef jerky around. It's drier than most products out there (Pemican, Jack Daniels) and much more authentic. Sadly, it seems that Trader Joe's has stopped carying it and started using their own, inferior brand. Honestly, it'g going to reduce the number of trips I make to trader joe's by 1/2. Anyway, if you like authentic beef jerkey (like the kind you used to find in the glass jars at gas stations) this is the only brand for you!
25	4	This is a great coffee....I have been tasting many different brands....this one is rich, bold, and delicious!<br /><br />I highly recommend this coffee, it's a nice get up and go blend.
26	5	Foremost: ~99% soluble fiber is great for you.<br /><br />These noodles will-not get soft. I would not recommend for marinara sauce of any type. These noodles are made for stir fry type dishes. I did not feel they were rubbery at all. Make sure you blanch (toss in boiling water for a few minutes) before eating them.<br /><br />Overall, just ordered more. Taste? There is none to the noodles themselves; though they don't smell nicely right out of the bag ( you are supposed to rinse then blanch).<br /><br />Anyone who has the need to be 'full' and wants to 'diet' or just wants more fiber in your diet easily... GET THESE!
27	4	Good price. All my cats love it, and I think it'd pretty healthy. I have four cats , and I feed five feral cats. I can't buy very expensive food.<br />They all like this.
28	5	If you think that salt is merely salt, listen up! This salt gives a flavor to food that you<br />would have never imagined. Salt is a flavor enhancer, but this salt tastes like the Rolls<br />Royce of them all. If you want to savor your cooking and kick it up a notch or two, I recommend<br />sprinkling this salt on just about anything you can put in your mouth. BRAVO!
29	5	These pancakes are delicious.  My son loves them. NO dairy, egg, gluten, soy... and they still taste great.
30	5	Okay, I know this is probably like a little kids/baby product, but I can't help it-- I'm hooked on these things. I'm a graduate student in college, and I buy these by the case to have as breakfast-on-the-go while driving to school, or snacks in the evening. Of course, they're so small I have to eat like three at a time to be satisfied-- this is why buying by the case is great-- but it ends up being really expensive because they're so small. So yeah, if they go on sale, buy lots of them. They're great.
31	5	I used this product many years ago and liked the results.  Recently I decided to use it for a dinner I was preparing for guests.  Unfortunately I tried all our grocery stores (6) and none of them had this Knorr product.  I was so please to find that I could get it at Amazon.  My sauerbraten dinner was a success!
32	5	These are exactly what I was looking for, but can't find in my local marketing area.  Instead of a two hour round trip, I sat at my computer, and they came right to my door in short order.  I will be ordering more when these run out.
